rooms,size,level,max_levels,price,district_Мирабадский,district_Мирзо-Улугбекский,district_Олмазорский,district_Сергелийский,district_Учтепинский,district_Чиланзарский,district_Шайхантахурский,district_Юнусабадский,district_Яккасарайский,district_Янгихаётский,district_Яшнободский
2,63.0,5,5,36000.0,0,1,0,0,0,0,0,0,0,0,0
2,48.0,4,5,28500.0,0,0,0,0,1,0,0,0,0,0,0
2,45.0,4,4,47000.0,0,0,0,0,0,1,0,0,0,0,0
4,122.0,5,5,95000.0,0,0,1,0,0,0,0,0,0,0,0
1,42.0,2,4,44000.0,0,0,0,0,0,0,0,1,0,0,0
2,50.0,1,4,45000.0,0,1,0,0,0,0,0,0,0,0,0
5,100.0,4,4,48000.0,0,1,0,0,0,0,0,0,0,0,0
2,60.0,4,4,32000.0,0,1,0,0,0,0,0,0,0,0,0
3,119.0,3,9,46500.0,0,0,0,0,0,0,0,0,1,0,0
2,50.0,2,4,47000.0,0,0,0,0,0,0,0,0,1,0,0
3,78.0,5,9,70500.0,0,1,0,0,0,0,0,0,0,0,0
4,164.0,5,6,170000.0,0,0,0,0,0,0,0,0,1,0,0
2,60.0,3,5,30500.0,0,1,0,0,0,0,0,0,0,0,0
1,42.0,2,4,26000.0,0,0,0,0,0,1,0,0,0,0,0
3,70.0,4,4,37500.0,0,0,0,0,0,1,0,0,0,0,0
1,35.0,1,5,26500.0,0,0,0,0,0,1,0,0,0,0,0
2,47.0,2,4,32000.0,0,0,0,0,0,1,0,0,0,0,0
1,36.0,2,5,26500.0,0,0,0,0,0,1,0,0,0,0,0
2,50.0,2,5,34500.0,0,0,0,0,0,1,0,0,0,0,0
2,52.0,2,4,36500.0,0,0,0,0,0,1,0,0,0,0,0
2,46.0,2,4,24500.0,0,0,0,0,0,0,0,0,0,0,1
3,92.0,3,9,42500.0,0,0,0,0,0,1,0,0,0,0,0
3,70.0,1,4,46000.0,0,0,0,0,0,1,0,0,0,0,0
3,70.0,2,4,38500.0,0,0,0,0,0,0,0,1,0,0,0
2,60.0,7,8,36000.0,0,1,0,0,0,0,0,0,0,0,0
2,55.0,3,5,35000.0,0,1,0,0,0,0,0,0,0,0,0
2,63.0,4,9,55500.0,0,1,0,0,0,0,0,0,0,0,0
2,89.0,4,12,81772.0,0,0,0,0,0,0,0,0,1,0,0
1,55.0,1,12,50533.0,0,0,0,0,0,0,0,0,1,0,0
3,100.0,2,6,119000.0,0,1,0,0,0,0,0,0,0,0,0
4,208.0,2,3,93000.0,0,1,0,0,0,0,0,0,0,0,0
1,35.0,1,4,23800.0,0,0,0,0,0,1,0,0,0,0,0
2,44.0,3,4,32900.0,0,0,0,0,0,1,0,0,0,0,0
2,61.0,3,7,36000.0,0,0,0,0,0,0,0,0,0,1,0
4,100.0,2,9,65000.0,0,0,0,0,0,0,0,0,0,0,1
1,35.0,1,4,29800.0,0,0,0,0,0,1,0,0,0,0,0
4,86.0,3,5,63000.0,0,1,0,0,0,0,0,0,0,0,0
3,100.0,1,5,80000.0,0,1,0,0,0,0,0,0,0,0,0
5,110.0,5,5,63500.0,0,0,1,0,0,0,0,0,0,0,0
3,75.0,6,9,110000.0,1,0,0,0,0,0,0,0,0,0,0
3,70.0,1,5,62000.0,0,0,1,0,0,0,0,0,0,0,0
3,70.0,4,5,36999.0,0,0,0,0,0,0,1,0,0,0,0
3,150.0,3,6,170000.0,0,0,0,0,0,0,0,0,1,0,0
2,56.1,7,7,37000.0,0,0,0,1,0,0,0,0,0,0,0
4,83.0,3,5,54000.0,0,0,0,0,0,0,0,1,0,0,0
2,49.0,4,4,23000.0,0,0,0,0,1,0,0,0,0,0,0
2,46.0,2,4,38500.0,0,0,0,0,0,1,0,0,0,0,0
2,46.0,4,4,36200.0,0,0,0,0,0,1,0,0,0,0,0
3,68.0,4,4,45000.0,0,0,0,0,0,1,0,0,0,0,0
3,65.0,1,5,45000.0,0,0,0,0,0,1,0,0,0,0,0
4,76.0,4,4,43000.0,0,0,0,0,0,1,0,0,0,0,0
1,42.0,2,5,26000.0,0,0,0,0,0,1,0,0,0,0,0
2,55.0,1,4,67000.0,0,0,0,0,0,1,0,0,0,0,0
4,76.0,5,5,45500.0,0,0,0,0,0,1,0,0,0,0,0
2,49.0,2,6,47000.0,0,0,0,0,0,1,0,0,0,0,0
4,80.0,2,4,70000.0,0,0,0,0,0,1,0,0,0,0,0
5,142.0,5,5,120000.0,0,0,0,0,0,1,0,0,0,0,0
3,60.0,3,4,44000.0,0,0,0,0,0,1,0,0,0,0,0
3,72.0,4,5,47000.0,0,1,0,0,0,0,0,0,0,0,0
4,115.0,6,9,84000.0,1,0,0,0,0,0,0,0,0,0,0
4,100.0,2,3,77000.0,0,0,0,0,0,0,0,0,0,0,1
2,63.0,5,5,35000.0,0,1,0,0,0,0,0,0,0,0,0
3,66.0,3,5,56000.0,0,1,0,0,0,0,0,0,0,0,0
